,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
x(m/s2),-0.5587773864969983,-9.031709,11.079966,-0.3505485,2.0366311442114258,-3.644798793629002,-0.5504551054861364,1.148746758667457,4.458788042920327,2.1115842495435335
y(m/s2),9.342853139146918,-0.83988076,35.036907,8.719446,2.787778290310425,0.2983861834057442,2.838044413725749,14.66630261357907,95.05815705970227,9.749777282569191
z(m/s2),-2.1738415700394946,-16.048662,5.8971114,-2.0985055,1.797623884920558,-0.8269341748248463,-1.0802755047297872,5.606104735529961,7.956017807492464,2.820641382290997
x(rad/s),0.0033065347429194324,-1.0693188,1.3594795,0.011453714,0.22402720001382787,67.75286438273682,-0.028819000220069224,1.4422574181477161,0.050183262271170995,0.22401620984020554
y(rad/s),-0.06281398053017377,-4.1560187,2.8819072,-0.0140498895,0.6035865829814987,-9.609112141707936,-0.5808702606026029,4.833938207339521,0.3681472513232869,0.6067513916945613
z(rad/s),0.010965312469750394,-1.2191334,1.9622504,-0.014355322,0.2682855018881887,24.46674480351546,0.5378115335272625,2.1926147619149416,0.07207460701785282,0.26846714327428006
x(μT),3.1931695372751974,-24.0375,29.6625,3.1875002,9.139501965955521,2.8622037944638734,-0.0780379536162945,0.10387090935845933,93.70043593756434,9.679898549962408
y(μT),-28.145154895418642,-49.0125,-8.1,-27.562502,8.710707603657625,-0.3094922602495792,-0.1452264755959275,-0.834025022363873,868.0021974489116,29.461877018426907
z(μT),6.695764456742497,-40.237503,53.268753,10.21875,17.876975642824608,2.669893147872438,-0.22921730498858106,-1.1756088972846372,364.318544673267,19.087130341496255
