,accx,accy,accz,angx,angy,angz,magx,magy,magz
accx,1.0,0.13155670777212658,-0.15227155641014584,0.0478512972850449,0.12747058499476566,-0.06853903654302415,-0.05427767073606208,-0.00830946387524777,-0.27625200870245314
accy,0.13155670777212658,1.0,-0.03107592651671244,0.13061268439921275,-0.04062467722259893,-0.012109422732284526,-0.0537394327208084,-0.00268392091317343,-0.1675315591062328
accz,-0.15227155641014584,-0.03107592651671244,1.0,0.019148899532385723,-0.022121547364622855,0.16222509562170434,0.008736983366191631,-0.02160190221807901,-0.014101874535566826
angx,0.0478512972850449,0.13061268439921275,0.019148899532385723,1.0,0.003961775576139556,-0.08828498067443578,-0.02847119940461787,0.014053700813637335,-0.037430247839688374
angy,0.12747058499476566,-0.04062467722259893,-0.022121547364622855,0.003961775576139556,1.0,-0.37448660945909956,0.008380624510000252,-0.025794365767506322,-0.014028691732340061
angz,-0.06853903654302415,-0.012109422732284526,0.16222509562170434,-0.08828498067443578,-0.37448660945909956,1.0,-0.035546890161078815,0.03707358315273557,0.0022620657844460196
magx,-0.05427767073606208,-0.0537394327208084,0.008736983366191631,-0.02847119940461787,0.008380624510000252,-0.035546890161078815,1.0,-0.23425369642229377,0.05573954433182821
magy,-0.00830946387524777,-0.00268392091317343,-0.02160190221807901,0.014053700813637335,-0.025794365767506322,0.03707358315273557,-0.23425369642229377,1.0,0.3081287681867981
magz,-0.27625200870245314,-0.1675315591062328,-0.014101874535566826,-0.037430247839688374,-0.014028691732340061,0.0022620657844460196,0.05573954433182821,0.3081287681867981,1.0
