,x(m/s2),y(m/s2),z(m/s2),x(rad/s),y(rad/s),z(rad/s),x(μT),y(μT),z(μT)
x(m/s2),1.0,-0.24738831398915376,-0.028909183883424047,-0.06657143330714867,-0.04723618847997907,-0.056505907568993805,-0.09827273026769215,-0.11537246613551638,0.10703691445514488
y(m/s2),-0.24738831398915376,1.0,0.6325748360630288,0.4828332308716757,0.013098877754649987,0.17081461865806438,0.1942217627150491,0.20504685047934978,-0.10735082737761986
z(m/s2),-0.028909183883424047,0.6325748360630288,1.0,0.5215884469007884,-0.05659672604578817,0.1326551341519284,0.14362440766980228,0.07120058836427658,-0.036030941789172634
x(rad/s),-0.06657143330714867,0.4828332308716757,0.5215884469007884,1.0,-0.12299008733588034,0.21694387844891364,0.10124235544549684,0.0582356918806777,-0.056300987586746544
y(rad/s),-0.04723618847997907,0.013098877754649987,-0.05659672604578817,-0.12299008733588034,1.0,0.12429667688555175,-0.04801349278387524,-0.07881431663313108,-0.015873110099623312
z(rad/s),-0.056505907568993805,0.17081461865806438,0.1326551341519284,0.21694387844891364,0.12429667688555175,1.0,0.10554876252241985,-0.0311629843207733,0.011246281189351788
x(μT),-0.09827273026769215,0.1942217627150491,0.14362440766980228,0.10124235544549684,-0.04801349278387524,0.10554876252241985,1.0,0.5395381153875307,-0.5198927786399913
y(μT),-0.11537246613551638,0.20504685047934978,0.07120058836427658,0.0582356918806777,-0.07881431663313108,-0.0311629843207733,0.5395381153875307,1.0,-0.21367490687407628
z(μT),0.10703691445514488,-0.10735082737761986,-0.036030941789172634,-0.056300987586746544,-0.015873110099623312,0.011246281189351788,-0.5198927786399913,-0.21367490687407628,1.0
