,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
x(m/s2),-0.02667703059530387,-2.796932557147067,3.49135814563985,0.006385123203985318,0.5627621466279277,-21.095381834850627,-0.29553093409748804,3.1436881344902776,0.3173035017030162,0.5632969924498232
y(m/s2),-0.009395752561101757,-2.7231699114913694,2.5674227133259033,0.014038855059969995,0.6352775201471258,-67.61326631537351,-0.19362736547148968,0.9036351583582314,0.40352640275230056,0.6352372806694366
z(m/s2),9.726334587038105,7.096297938880649,13.483339721338366,9.71360820566138,0.3804037844168629,0.03911070311356672,0.9511529136899639,11.576422057207287,94.74624155305204,9.733768106599419
x(rad/s),0.0005639685378514683,-0.6838631,0.72616553,0.0019853106,0.18662951606420028,330.92185740572756,0.13158720332387372,0.9844061482854523,0.03481886303973064,0.18659813246581713
y(rad/s),6.124457687737464e-05,-1.1522437,0.8767437,0.004734202,0.19737042492745985,3222.6596213186294,-0.33855693664565156,3.0968634359606426,0.038941632399159785,0.19733634333077063
z(rad/s),-0.0021011005831157166,-0.788321,0.7034108,-0.0012217296,0.12912247122304837,-61.45468344574585,-0.12605847867106282,4.148236306902387,0.01667126809216389,0.12911726488802297
x(μT),16.339618468842833,7.4812503,27.69375,16.7625,2.9904047137823713,0.18301557771894236,-0.028476321801382185,-0.09323305044377816,275.9225631060721,16.610916985707686
y(μT),-20.748964343350607,-24.73125,-13.125001,-20.6625,1.7719654706900023,-0.08540018872112341,0.21694887293043355,0.4203047284297483,433.6582983700787,20.824463939561053
z(μT),-10.135984848943695,-24.618752,4.0125003,-10.106251,4.759101561359433,-0.46952532312194556,-0.1282704808251547,-0.3523541531402241,125.37941302410943,11.197294897612968
