,x(m/s2),y(m/s2),z(m/s2),x(rad/s),y(rad/s),z(rad/s),x(μT),y(μT),z(μT)
x(m/s2),1.0,0.24118851579344264,0.17047997520175426,-0.26035601339585906,-0.175037671825692,0.285877869295797,-0.097371604090416,-0.06353852292639164,0.004698778092780608
y(m/s2),0.24118851579344264,1.0,0.12115736997566812,0.16607260592820075,0.29540262316195437,0.1650909875503148,-0.06970805429199184,-0.05674578007648306,0.03776219960499179
z(m/s2),0.17047997520175426,0.12115736997566812,1.0,-0.08592073596194824,0.02667526211175165,0.16548191038301208,-0.023776630706357178,-0.014524597429469746,0.016973357757592077
x(rad/s),-0.26035601339585906,0.16607260592820075,-0.08592073596194824,1.0,0.11502745591629028,-0.240147434936303,0.0012620852036608874,-0.01689544650290897,-0.011881109966788143
y(rad/s),-0.175037671825692,0.29540262316195437,0.02667526211175165,0.11502745591629028,1.0,-0.09177138635597427,-0.025084039763397164,-0.014987209418314298,-0.003716563203464126
z(rad/s),0.285877869295797,0.1650909875503148,0.16548191038301208,-0.240147434936303,-0.09177138635597427,1.0,0.00941283790495438,0.020781678280310547,0.012786741511116041
x(μT),-0.097371604090416,-0.06970805429199184,-0.023776630706357178,0.0012620852036608874,-0.025084039763397164,0.00941283790495438,1.0,0.6742533257066154,-0.6503912738029467
y(μT),-0.06353852292639164,-0.05674578007648306,-0.014524597429469746,-0.01689544650290897,-0.014987209418314298,0.020781678280310547,0.6742533257066154,1.0,-0.2675429115855401
z(μT),0.004698778092780608,0.03776219960499179,0.016973357757592077,-0.011881109966788143,-0.003716563203464126,0.012786741511116041,-0.6503912738029467,-0.2675429115855401,1.0
