,x(m/s2),y(m/s2),z(m/s2),x(rad/s),y(rad/s),z(rad/s),x(μT),y(μT),z(μT)
x(m/s2),1.0,-0.1382119114568934,0.017247696058027468,-0.07283422996392733,-0.07488799675789967,0.004816129241235695,-0.09280532958017651,-0.16324059180457728,0.05073555921878109
y(m/s2),-0.1382119114568934,1.0,-0.6934294346966572,0.5532023665948013,-0.03282986211888883,0.16806920789843327,0.17079846257919387,0.13748725323838593,-0.06966725289386459
z(m/s2),0.017247696058027468,-0.6934294346966572,1.0,-0.3580559400854873,-0.06988502879094773,-0.14124897657783364,-0.14886978080202004,-0.09888391123735761,0.018685212356190757
x(rad/s),-0.07283422996392733,0.5532023665948013,-0.3580559400854873,1.0,-0.12299008733588034,0.21694387844891364,0.10124235544549684,0.0582356918806777,-0.056300987586746544
y(rad/s),-0.07488799675789967,-0.03282986211888883,-0.06988502879094773,-0.12299008733588034,1.0,0.12429667688555175,-0.04801349278387524,-0.07881431663313108,-0.015873110099623312
z(rad/s),0.004816129241235695,0.16806920789843327,-0.14124897657783364,0.21694387844891364,0.12429667688555175,1.0,0.10554876252241985,-0.0311629843207733,0.011246281189351788
x(μT),-0.09280532958017651,0.17079846257919387,-0.14886978080202004,0.10124235544549684,-0.04801349278387524,0.10554876252241985,1.0,0.5395381153875307,-0.5198927786399913
y(μT),-0.16324059180457728,0.13748725323838593,-0.09888391123735761,0.0582356918806777,-0.07881431663313108,-0.0311629843207733,0.5395381153875307,1.0,-0.21367490687407628
z(μT),0.05073555921878109,-0.06966725289386459,0.018685212356190757,-0.056300987586746544,-0.015873110099623312,0.011246281189351788,-0.5198927786399913,-0.21367490687407628,1.0
