,x(m/s2),y(m/s2),z(m/s2),x(rad/s),y(rad/s),z(rad/s),x(μT),y(μT),z(μT)
x(m/s2),1.0,-0.6054679183629766,0.024698142570959963,-0.6424373787217205,-0.4472284569846224,0.29517661595855654,-0.09313176894772564,-0.13911383533146898,-0.19990515547182278
y(m/s2),-0.6054679183629766,1.0,0.20053733242684046,0.7546766851072221,0.4446000972326632,0.24139439775457025,-0.017224719381913296,0.0786543208661757,0.28176347650803374
z(m/s2),0.024698142570959963,0.20053733242684046,1.0,0.044557754678106846,0.04764894239733648,0.18837827128474935,-0.012725959828255985,-0.02928366837204068,0.14992648733251282
x(rad/s),-0.6424373787217205,0.7546766851072221,0.044557754678106846,1.0,0.37366166148970553,0.017867673853300913,-0.022563629459120972,0.09641705602443004,0.04319896260302106
y(rad/s),-0.4472284569846224,0.4446000972326632,0.04764894239733648,0.37366166148970553,1.0,-0.16123823393504447,-0.03784526929689525,0.0471446002616384,0.07607221496992159
z(rad/s),0.29517661595855654,0.24139439775457025,0.18837827128474935,0.017867673853300913,-0.16123823393504447,1.0,0.008897068793881094,0.04706262542481414,0.012455119239961806
x(μT),-0.09313176894772564,-0.017224719381913296,-0.012725959828255985,-0.022563629459120972,-0.03784526929689525,0.008897068793881094,1.0,0.588465143032445,-0.11581264076775409
y(μT),-0.13911383533146898,0.0786543208661757,-0.02928366837204068,0.09641705602443004,0.0471446002616384,0.04706262542481414,0.588465143032445,1.0,0.0619838870478575
z(μT),-0.19990515547182278,0.28176347650803374,0.14992648733251282,0.04319896260302106,0.07607221496992159,0.012455119239961806,-0.11581264076775409,0.0619838870478575,1.0
