,x(m/s2),y(m/s2),z(m/s2),x(rad/s),y(rad/s),z(rad/s),x(μT),y(μT),z(μT)
x(m/s2),1.0,0.020327344942535356,0.16853513895023764,0.04977766759263896,-0.0048599076526204535,0.0642910770192238,0.026257150061952318,0.002908165179100067,0.044828350451167794
y(m/s2),0.020327344942535356,1.0,0.2482542422953462,0.045284975093711544,0.14108561292088,-0.045761847207250864,-0.016824532751808927,-0.015313512839217903,0.033023292714572175
z(m/s2),0.16853513895023764,0.2482542422953462,1.0,0.1368403201374679,-0.006837559962279469,0.0800383997839086,0.014186971717319162,0.0010154671372192617,0.014204443268062592
x(rad/s),0.04977766759263896,0.045284975093711544,0.1368403201374679,1.0,-0.380202020363154,0.3968118438766405,0.010396298803763165,-0.009463825695944504,-0.03245576450826794
y(rad/s),-0.0048599076526204535,0.14108561292088,-0.006837559962279469,-0.380202020363154,1.0,-0.4915274952268057,-0.007835753010189612,0.039189198966570596,0.02153035508596709
z(rad/s),0.0642910770192238,-0.045761847207250864,0.0800383997839086,0.3968118438766405,-0.4915274952268057,1.0,0.03760503205901383,-0.027183913362923827,-0.003126381232770053
x(μT),0.026257150061952318,-0.016824532751808927,0.014186971717319162,0.010396298803763165,-0.007835753010189612,0.03760503205901383,1.0,0.24678903758858742,0.42225941442502424
y(μT),0.002908165179100067,-0.015313512839217903,0.0010154671372192617,-0.009463825695944504,0.039189198966570596,-0.027183913362923827,0.24678903758858742,1.0,0.405510711471611
z(μT),0.044828350451167794,0.033023292714572175,0.014204443268062592,-0.03245576450826794,0.02153035508596709,-0.003126381232770053,0.42225941442502424,0.405510711471611,1.0
