,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
x(m/s2),-0.27548342736603204,-44.78670012972455,20.308018404801835,-0.03531690313609348,3.484160955196207,-12.647443036806848,-1.666034052079514,18.381176666025848,12.211204610309162,3.4944534065156976
y(m/s2),4.966952664752899,-9.85667843389645,49.854596123263924,1.793253306095281,7.9657172865068375,1.6037433461031632,1.8224029156390387,3.6196015136920376,88.10202772576127,9.386268040374794
z(m/s2),7.7284868145960814,-4.409025775779926,45.83020429848742,5.2428724178136745,8.39986080248901,1.0868700437742829,0.942997877049217,0.32299282027371357,130.26354836389345,11.413305759677757
x(rad/s),-0.00233220700060261,-2.0825908,2.540434,-0.10354158,0.6068821963879912,-260.21798075007115,0.5837680732879471,2.0049954634244767,0.3681881365025299,0.6067850826301928
y(rad/s),0.013485806528844997,-2.4964516,2.3470953,-0.0021380268,0.3851217609908471,28.55756236507652,0.46549466168054826,4.731084607631726,0.14845098300553117,0.3852933726467809
z(rad/s),-0.0018599985290592587,-1.966221,2.9411612,-0.044898562,0.5886383339595612,-316.47247283430914,0.4651413990182858,0.5093057430071535,0.3463825467673336,0.5885427314709898
x(μT),17.289264494040843,-25.987501,31.331251,17.681252,4.414062862145957,0.25530657268083146,-3.4506538901093093,28.846943751627716,318.39609477959,17.843656990078856
y(μT),-20.007794811851355,-30.750002,-8.231251,-20.456251,2.793033382710778,-0.13959726241576415,0.5860040196457743,0.5159450118047602,408.11027704772033,20.201739455990424
z(μT),-12.996186070940745,-27.206251,20.2875,-13.668751,3.634807356408284,-0.279682618928922,2.778479497706545,20.091468007868365,182.1082538004052,13.494749119580002
